report_date,report_type,category,location_id,unit_of_measure,value_amt
2025-06-01,Production,Calves,Victoria,Tonnes,1547.0000
2025-06-01,Production,Pigs,Australian Capital Territory,Tonnes,0.0000
2025-06-01,Production,Calves,Tasmania,Tonnes,26.0000
2025-06-01,Production,Total Red Meat,New South Wales,Tonnes,238064.0000
2025-06-01,Slaughter,Lambs,Tasmania,000,159.0000
2025-09-01,Production,Pigs,New South Wales,Tonnes,17609.0000
2025-09-01,Slaughter,"Bulls, Bullocks And Steers",Queensland,000,652.6000
2025-09-01,Slaughter,Pigs,South Australia,000,310.7000
2025-09-01,Production,Lambs,Australia,Tonnes,126171.0000
2025-09-01,Production,Total Red Meat,Australian Capital Territory,Tonnes,0.0000
2025-09-01,Slaughter,"Bulls, Bullocks And Steers",New South Wales,000,208.8000
2025-09-01,Slaughter,Cattle (Excl. Calves),Northern Territory,000,0.0000
2025-09-01,Slaughter,Cattle (Excl. Calves),Australia,000,2475.3000
2025-09-01,Production,Cattle (Excl. Calves),Tasmania,Tonnes,14997.0000
2025-09-01,Slaughter,Cows And Heifers,Victoria,000,393.7000
2025-09-01,Production,Chickens,Victoria,Tonnes,77142.0000
2025-09-01,Slaughter,"Bulls, Bullocks And Steers",Australian Capital Territory,000,0.0000
2025-09-01,Slaughter,Cows And Heifers,Australia,000,1312.7000
2025-09-01,Slaughter,Pigs,Northern Territory,000,0.0000
2025-09-01,Production,Pigs,Australian Capital Territory,Tonnes,0.0000
2025-09-01,Production,Sheep,South Australia,Tonnes,3246.0000
2025-09-01,Slaughter,Chickens,Western Australia,000,0.0000
2025-09-01,Slaughter,Sheep,Australian Capital Territory,000,0.0000
2025-12-01,Slaughter,Pigs,Australia,000,1411.6000
2025-12-01,Production,Calves,South Australia,Tonnes,0.0000
2025-12-01,Production,Cattle (Excl. Calves),New South Wales,Tonnes,164199.0000
2025-12-01,Slaughter,Cattle (Excl. Calves),Northern Territory,000,0.0000
2025-12-01,Slaughter,Sheep,Australia,000,2652.7000
2025-12-01,Production,Pigs,Northern Territory,Tonnes,0.0000
2025-12-01,Production,Calves,Northern Territory,Tonnes,0.0000
2025-12-01,Production,Total Red Meat,Western Australia,Tonnes,83150.0000
2025-12-01,Production,Total Red Meat,South Australia,Tonnes,68736.0000
2025-12-01,Production,Sheep,Northern Territory,Tonnes,0.0000
2025-12-01,Slaughter,Pigs,Queensland,000,349.9000
2025-12-01,Production,Pigs,Australian Capital Territory,Tonnes,0.0000
2025-06-01,Slaughter,Cows And Heifers,Victoria,000,385.0000
2025-06-01,Production,Total Red Meat,Tasmania,Tonnes,23106.0000
2025-06-01,Slaughter,Cattle (Excl. Calves),New South Wales,000,512.7000
2025-06-01,Slaughter,Pigs,Western Australia,000,226.7000
2025-06-01,Slaughter,Pigs,New South Wales,000,220.7000
2025-06-01,Slaughter,"Bulls, Bullocks And Steers",New South Wales,000,188.9000
2025-06-01,Slaughter,Cattle (Excl. Calves),Queensland,000,1012.6000
2025-06-01,Production,Chickens,Victoria,Tonnes,73655.0000
2025-06-01,Slaughter,"Bulls, Bullocks And Steers",Victoria,000,154.5000
